day,conc,count,site,model,const,interval,format
11/23/1993,1.8,1,ID,interp,TSS,daily,conc
11/24/1993,1.8,1,ID,interp,TSS,daily,conc
11/25/1993,1.8,1,ID,interp,TSS,daily,conc
11/26/1993,1.8,1,ID,interp,TSS,daily,conc
11/27/1993,1.8,1,ID,interp,TSS,daily,conc
11/28/1993,1.8,1,ID,interp,TSS,daily,conc
11/29/1993,1.8,1,ID,interp,TSS,daily,conc
11/30/1993,1.8,1,ID,interp,TSS,daily,conc
12/1/1993,1.8,1,ID,interp,TSS,daily,conc
12/2/1993,1.8,1,ID,interp,TSS,daily,conc
12/3/1993,1.8,1,ID,interp,TSS,daily,conc
12/4/1993,1.8,1,ID,interp,TSS,daily,conc
12/5/1993,1.8,1,ID,interp,TSS,daily,conc
12/6/1993,1.8,1,ID,interp,TSS,daily,conc
12/7/1993,1.2,1,ID,interp,TSS,daily,conc
12/8/1993,1.2,1,ID,interp,TSS,daily,conc
12/9/1993,1.2,1,ID,interp,TSS,daily,conc
12/10/1993,1.2,1,ID,interp,TSS,daily,conc
12/11/1993,1.2,1,ID,interp,TSS,daily,conc
12/12/1993,1.2,1,ID,interp,TSS,daily,conc
12/13/1993,1.2,1,ID,interp,TSS,daily,conc
12/14/1993,1.2,1,ID,interp,TSS,daily,conc
12/15/1993,1.2,1,ID,interp,TSS,daily,conc
12/16/1993,1.2,1,ID,interp,TSS,daily,conc
12/17/1993,1.2,1,ID,interp,TSS,daily,conc
12/18/1993,1.2,1,ID,interp,TSS,daily,conc
12/19/1993,1.2,1,ID,interp,TSS,daily,conc
12/20/1993,1.2,1,ID,interp,TSS,daily,conc
12/21/1993,1.2,1,ID,interp,TSS,daily,conc
12/22/1993,1.2,1,ID,interp,TSS,daily,conc
12/23/1993,1.2,1,ID,interp,TSS,daily,conc
12/24/1993,1.2,1,ID,interp,TSS,daily,conc
12/25/1993,1.2,1,ID,interp,TSS,daily,conc
12/26/1993,1.2,1,ID,interp,TSS,daily,conc
12/27/1993,1.2,1,ID,interp,TSS,daily,conc
12/28/1993,1.2,1,ID,interp,TSS,daily,conc
12/29/1993,1.2,1,ID,interp,TSS,daily,conc
12/30/1993,1.2,1,ID,interp,TSS,daily,conc
12/31/1993,1.2,1,ID,interp,TSS,daily,conc
1/1/1994,1.2,1,ID,interp,TSS,daily,conc
1/2/1994,1.2,1,ID,interp,TSS,daily,conc
1/3/1994,1.2,1,ID,interp,TSS,daily,conc
1/4/1994,1.2,1,ID,interp,TSS,daily,conc
1/5/1994,1.2,1,ID,interp,TSS,daily,conc
1/6/1994,1.2,1,ID,interp,TSS,daily,conc
1/7/1994,1,1,ID,interp,TSS,daily,conc
1/8/1994,1,1,ID,interp,TSS,daily,conc
1/9/1994,1,1,ID,interp,TSS,daily,conc
1/10/1994,1,1,ID,interp,TSS,daily,conc
1/11/1994,1,1,ID,interp,TSS,daily,conc
1/12/1994,1,1,ID,interp,TSS,daily,conc
1/13/1994,1,1,ID,interp,TSS,daily,conc
1/14/1994,1,1,ID,interp,TSS,daily,conc
1/15/1994,1,1,ID,interp,TSS,daily,conc
1/16/1994,1,1,ID,interp,TSS,daily,conc
1/17/1994,1,1,ID,interp,TSS,daily,conc
1/18/1994,1,1,ID,interp,TSS,daily,conc
1/19/1994,1,1,ID,interp,TSS,daily,conc
1/20/1994,1,1,ID,interp,TSS,daily,conc
1/21/1994,1,1,ID,interp,TSS,daily,conc
1/22/1994,1,1,ID,interp,TSS,daily,conc
1/23/1994,1,1,ID,interp,TSS,daily,conc
1/24/1994,1,1,ID,interp,TSS,daily,conc
1/25/1994,1,1,ID,interp,TSS,daily,conc
1/26/1994,1,1,ID,interp,TSS,daily,conc
1/27/1994,1,1,ID,interp,TSS,daily,conc
1/28/1994,1,1,ID,interp,TSS,daily,conc
1/29/1994,1,1,ID,interp,TSS,daily,conc
1/30/1994,1,1,ID,interp,TSS,daily,conc
1/31/1994,1,1,ID,interp,TSS,daily,conc
2/1/1994,1,1,ID,interp,TSS,daily,conc
2/2/1994,1,1,ID,interp,TSS,daily,conc
2/3/1994,1,1,ID,interp,TSS,daily,conc
2/4/1994,1,1,ID,interp,TSS,daily,conc
2/5/1994,1,1,ID,interp,TSS,daily,conc
2/6/1994,1,1,ID,interp,TSS,daily,conc
2/7/1994,1,1,ID,interp,TSS,daily,conc
2/8/1994,1,1,ID,interp,TSS,daily,conc
2/9/1994,1,1,ID,interp,TSS,daily,conc
2/10/1994,1,1,ID,interp,TSS,daily,conc
2/11/1994,1,1,ID,interp,TSS,daily,conc
2/12/1994,1,1,ID,interp,TSS,daily,conc
2/13/1994,1,1,ID,interp,TSS,daily,conc
2/14/1994,1,1,ID,interp,TSS,daily,conc
2/15/1994,1,1,ID,interp,TSS,daily,conc
2/16/1994,1,1,ID,interp,TSS,daily,conc
2/17/1994,1,1,ID,interp,TSS,daily,conc
2/18/1994,1,1,ID,interp,TSS,daily,conc
2/19/1994,1,1,ID,interp,TSS,daily,conc
2/20/1994,1,1,ID,interp,TSS,daily,conc
2/21/1994,1,1,ID,interp,TSS,daily,conc
2/22/1994,1,1,ID,interp,TSS,daily,conc
2/23/1994,1,1,ID,interp,TSS,daily,conc
2/24/1994,1,1,ID,interp,TSS,daily,conc
2/25/1994,1.4,1,ID,interp,TSS,daily,conc
2/26/1994,1.4,1,ID,interp,TSS,daily,conc
2/27/1994,1.4,1,ID,interp,TSS,daily,conc
2/28/1994,1.4,1,ID,interp,TSS,daily,conc
3/1/1994,1.4,1,ID,interp,TSS,daily,conc
3/2/1994,1.4,1,ID,interp,TSS,daily,conc
3/3/1994,1.4,1,ID,interp,TSS,daily,conc
3/4/1994,1.4,1,ID,interp,TSS,daily,conc
3/5/1994,1.4,1,ID,interp,TSS,daily,conc
3/6/1994,1.4,1,ID,interp,TSS,daily,conc
